"id","location","date","time","title","workshop_no","language","visible"
"1","Université de Montréal/UQAM","2014-10-10","13h à 17h","Atelier 1 - Intro à R","1","Français","0"
"2","McGill University/Concordia","2014-10-10","1:00PM to 5:00PM","Workshop 1 - Intro to R","1","English","0"
"3","Université Laval","2014-09-26","13h à 17h","Atelier 1 - Intro à R","1","Français","0"
"4","Université de Sherbrooke","2014-10-09","13h30 à 17h30","Atelier 1 - Intro à R","1","Français","0"
"5","Université de Montréal/UQAM","2014-10-24","13h à 17h","Atelier 2 - Charger et explorer des données","2","Français","0"
"6","McGill University/Concordia","2014-10-24","1:00PM to 5:00PM","Workshop 2 - Loading and exploring data","2","English","0"
"7","Université Laval","2014-10-17","13h à 17h","Atelier 2 - Charger et explorer des données","2","Français","0"
"8","Université de Sherbrooke","2014-10-23","13h30 à 17h30","Atelier 2 - Charger et explorer des données","2","Français","0"
"9","Université Laval","2014-11-14","13h à 17h","Atelier 3 - Modèles linéaires","4","Français","0"
"10","McGill University/Concordia","2014-11-07","1:00PM to 5:00PM","Workshop 3 - Linear models","4","English","0"
"11","Université de Sherbrooke","2014-11-06","13h30 à 17h30","Atelier 3 - Modèles linéaires","4","Français","0"
"12","Université de Montréal/UQAM","2014-11-07","13h à 17h","Atelier 3 - Modèles linéaires","4","Français","0"
"13","Université de Montréal/UQAM","2014-11-21","13h à 17h","Atelier 4 - ggplot et plyr","3","Français","0"
"14","McGill University/Concordia","2014-11-21","1:00PM to 5:00PM","Workshop 4 - ggplot and plyr","3","English","0"
"15","Université Laval","2014-11-28","13h à 17h","Atelier 4 - ggplot et plyr","3","Français","0"
"16","Université de Sherbrooke","2014-11-20","13h30 à 17h30","Atelier 4 - ggplot et plyr","3","Français","0"
"17","Université du Québec à Rimouski","0000-00-00","13h à 17h","Atelier 1 - Intro à R","1","Français","0"
"18","Université du Québec à Rimouski","0000-00-00","13h à 17h","Atelier 2 - Charger et explorer des données","2","Français","0"
"19","Université du Québec à Rimouski","0000-00-00","13h à 17h","Atelier 3 - Modèles linéaires","4","Français","0"
"20","Université du Québec à Rimouski","0000-00-00","13h à 17h","Atelier 4 - ggplot et plyr","3","Français","0"
"21","McGill University/Concordia","0000-00-00",,"Workshop 5 - Linear mixed models","6","English","0"
"22","McGill University/Concordia","0000-00-00",,"Workshop 6 - Generalized linear (mixed) models","7","English","0"
"23","McGill University/Concordia","0000-00-00",,"Workshop 7 - Ordination","8","English","0"
"24","McGill University/Concordia","0000-00-00",,"Workshop 8 - Programming in R","9","English","0"
"25","Université de Montréal/UQAM","0000-00-00",,"Atelier 5 - Modèles linéaires mixtes","6","français","0"
"26","Université de Montréal/UQAM","0000-00-00",,"Atelier 6 - Modèles linéaires généralisés (mixtes)","7","français","0"
"27","Université de Montréal/UQAM","0000-00-00",,"Atelier 7 - Méthodes d'ordination","8","français","0"
"28","Université du Québec à Montréal","0000-00-00",,"Atelier 8 - Programmation avec R","9","français","0"
"29","Université Laval","0000-00-00",,"Atelier 5 - Modèles linéaires mixtes","6","français","0"
"30","Université Laval","0000-00-00",,"Atelier 6 - Modèles linéaires généralisés (mixtes)","7","français","0"
"31","Université Laval","0000-00-00",,"Atelier 7 - Méthodes d'ordination","8","français","0"
"32","Université Laval","0000-00-00",,"Atelier 8 - Programmation avec R","9","français","0"
"33","Université du Québec à Rimouski","0000-00-00",,"Atelier 5 - Modèles linéaires mixtes","6","français","0"
"34","Université du Québec à Rimouski","0000-00-00",,"Atelier 6 - Modèles linéaires généralisés (mixtes)","7","français","0"
"35","Université du Québec à Rimouski","0000-00-00",,"Atelier 7 - Méthodes d'ordination","8","français","0"
"36","Université du Québec à Rimouski","0000-00-00",,"Atelier 8 - Programmation avec R","9","français","0"
"37","Université de Sherbrooke","0000-00-00",,"Atelier 5 - Modèles linéaires mixtes","6","français","0"
"38","Université de Sherbrooke","0000-00-00",,"Atelier 6 - Modèles linéaires généralisés (mixtes)","7","français","0"
"39","Université de Sherbrooke","0000-00-00",,"Atelier 7 - Méthodes d'ordination","8","français","0"
"40","Université de Sherbrooke","0000-00-00",,"Atelier 8 - Programmation avec R","9","français","0"
"41","Université de Montréal/UQAM","0000-00-00",,"Introduction à R ","1","Français","1"
"42","Université de Montréal/UQAM","0000-00-00",,"Charger et manipuler des données","2","Français","1"
"43","Université de Montréal/UQAM","0000-00-00",,"Modèles linéaires","4","Français","1"
"44","Université de Montréal/UQAM","0000-00-00",,"Introduction à ggplot2, reshape & plyr ","3","Français","1"
"45","Université de Montréal/UQAM","0000-00-00",,"Modèles linéaires mixtes ","6","Français","0"
"46","Université de Montréal/UQAM","0000-00-00",,"Modèles linéaires généralisés mixtes","7","Français","0"
"47","Université de Montréal/UQAM","0000-00-00",,"Modèles additifs généralisés ","8","Français","0"
"48","Université de Montréal/UQAM","0000-00-00",,"Méthodes d'ordination","9","Français","0"
"49","Université de Montréal/UQAM","0000-00-00",,"Analyses multivariées avancées","10","Français","0"
"50","Université de Montréal/UQAM","0000-00-00",,"Programmation avec R ","5","Français","1"
"51","McGill University/Concordia","0000-00-00",,"Introduction to R","1","English","1"
"52","McGill University/Concordia","0000-00-00",," Loading and manipulating data","2","English","1"
"53","McGill University/Concordia","0000-00-00",,"Linear models","4","English","1"
"54","McGill University/Concordia","0000-00-00",,"Introduction to ggplot2, reshape & plyr","3","English","1"
"55","McGill University/Concordia","0000-00-00",,"Linear mixed models (LMMs)","6","English","0"
"56","McGill University/Concordia","0000-00-00",,"Generalized linear mixed models (GLMMs)","7","English","0"
"57","McGill University/Concordia","0000-00-00",,"Generalized additive models (GAMs)","8","English","0"
"58","McGill University/Concordia","0000-00-00",,"Ordination","9","English","0"
"59","McGill University/Concordia","0000-00-00",,"Advanced multivariate analyses","10","English","0"
"60","McGill University/Concordia","0000-00-00",,"Programming in R","5","English","1"
